Data Set 3:Time(s),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm
0.00,0.703569,1.785077,3.128476
0.05,0.703569,1.785077,3.128476
0.10,0.703569,1.785077,3.128476
0.15,0.703569,1.785077,3.128476
0.20,0.703569,1.785077,3.128476
0.25,0.703569,1.785077,3.128476
0.30,0.703569,1.785077,3.128476
0.35,0.703569,1.785077,3.128476
0.40,0.703569,1.785077,3.128476
0.45,0.703569,1.785077,3.128476
0.50,0.703569,1.785077,3.128476
0.55,0.703569,1.785077,3.128476
0.60,0.879461,1.983419,1.738042
0.65,0.879461,1.983419,1.738042
0.70,0.703569,1.785077,3.128476
0.75,0.703569,1.785077,3.128476
0.80,0.703569,1.785077,3.128476
0.85,0.703569,1.785077,3.128476
0.90,0.703569,1.785077,3.128476
0.95,0.703569,1.785077,3.128476
1.00,0.703569,1.785077,3.128476
1.05,0.703569,1.785077,3.128476
1.10,0.703569,1.785077,3.128476
1.15,0.703569,1.785077,3.128476
1.20,0.703569,1.785077,3.128476
1.25,0.703569,1.785077,3.128476
1.30,0.703569,1.785077,3.128476
1.35,0.703569,1.785077,3.128476
1.40,0.703569,1.785077,3.128476
1.45,0.703569,1.785077,3.128476
1.50,0.703569,1.785077,3.128476
1.55,0.703569,1.785077,3.128476
1.60,0.703569,1.785077,3.128476
1.65,0.703569,1.785077,3.128476
1.70,0.703569,1.785077,3.128476
1.75,0.703569,1.785077,3.128476
1.80,0.879461,1.983419,1.738042
1.85,0.879461,1.983419,1.738042
1.90,0.703569,1.785077,3.128476
1.95,0.703569,1.785077,3.128476
2.00,0.879461,1.983419,1.738042
2.05,0.879461,1.983419,1.738042
2.10,0.703569,1.785077,3.128476
2.15,0.703569,1.785077,3.128476
2.20,0.879461,1.983419,1.738042
2.25,0.879461,1.983419,1.738042
2.30,0.879461,1.983419,1.738042
2.35,0.879461,1.983419,1.738042
2.40,0.703569,1.785077,3.128476
2.45,0.703569,1.785077,3.128476
2.50,0.703569,1.785077,3.128476
2.55,0.703569,1.785077,3.128476
2.60,0.703569,1.785077,3.128476
2.65,0.703569,1.785077,3.128476
2.70,0.703569,1.785077,3.128476
2.75,0.703569,1.785077,3.128476
2.80,0.527677,2.578444,2.780868
2.85,0.527677,2.578444,2.780868
2.90,0.527677,2.578444,2.780868
2.95,0.527677,2.578444,2.780868
3.00,0.527677,2.578444,2.780868
3.05,0.527677,2.578444,2.780868
3.10,0.527677,2.578444,2.780868
3.15,0.527677,2.578444,2.780868
3.20,0.527677,2.578444,2.780868
3.25,0.527677,2.578444,2.780868
3.30,0.527677,2.578444,2.780868
3.35,0.527677,2.578444,2.780868
3.40,0.527677,2.578444,2.780868
3.45,0.527677,2.578444,2.780868
3.50,0.351785,2.380103,4.171302
3.55,0.351785,2.380103,4.171302
3.60,0.351785,2.380103,4.171302
3.65,0.351785,2.380103,4.171302
3.70,0.351785,2.380103,4.171302
3.75,0.351785,2.380103,4.171302
3.80,1.055354,2.181761,3.823693
3.85,1.055354,2.181761,3.823693
3.90,0.351785,2.380103,4.171302
3.95,0.351785,2.380103,4.171302
4.00,1.055354,2.181761,3.823693
4.05,1.055354,2.181761,3.823693
4.10,1.055354,2.181761,3.823693
4.15,1.055354,2.181761,3.823693
4.20,0.879461,1.983419,5.214127
4.25,0.879461,1.983419,5.214127
4.30,0.879461,1.983419,5.214127
4.35,0.879461,1.983419,5.214127
4.40,0.527677,2.578444,6.256952
4.45,0.527677,2.578444,6.256952
4.50,0.527677,2.578444,6.256952
4.55,0.527677,2.578444,6.256952
4.60,0.527677,2.578444,6.256952
4.65,0.527677,2.578444,6.256952
4.70,0.351785,2.380103,7.647387
4.75,0.351785,2.380103,7.647387
4.80,0.351785,2.380103,7.647387
4.85,0.351785,2.380103,7.647387
4.90,0.351785,2.380103,7.647387
4.95,0.351785,2.380103,7.647387
5.00,0.175892,2.181761,9.037820
5.05,0.175892,2.181761,9.037820
5.10,0.175892,2.181761,9.037820
5.15,0.175892,2.181761,9.037820
5.20,0.175892,2.181761,9.037820
5.25,0.175892,2.181761,9.037820
5.30,0.175892,2.181761,9.037820
5.35,0.175892,2.181761,9.037820
5.40,0.000000,1.983419,10.428254
5.45,0.000000,1.983419,10.428254
5.50,0.000000,1.983419,10.428254
5.55,0.000000,1.983419,10.428254
5.60,0.000000,2.578444,11.471080
5.65,0.000000,2.578444,11.471080
5.70,0.000000,2.578444,11.471080
