Data Set 4:Time(s),Data Set 4:C-Weighted Sound Level(db),Data Set 6:C-Weighted Sound Level(db),Data Set 9:C-Weighted Sound Level(db),Data Set 12:C-Weighted Sound Level(db),Data Set 13:C-Weighted Sound Level(db),Data Set 14:C-Weighted Sound Level(db)
0.000000,68.700000,64.800000,56.100000,98.000000,66.100000,72.200000
0.005000,68.900000,65.800000,53.500000,53.000000,69.700000,74.900000
0.010000,67.900000,66.400000,53.000000,76.900000,70.000000,73.100000
0.015000,69.300000,66.500000,57.900000,53.000000,68.000000,72.400000
0.020000,69.800000,65.700000,56.400000,53.000000,64.800000,67.400000
0.025000,68.000000,68.300000,58.400000,53.000000,65.900000,67.000000
0.030000,66.500000,67.000000,71.500000,53.000000,70.300000,65.700000
0.035000,66.100000,66.300000,66.300000,53.000000,69.200000,65.400000
0.040000,68.200000,65.900000,64.300000,53.000000,68.100000,65.600000
0.045000,64.800000,68.400000,65.900000,88.800000,67.200000,64.700000
0.050000,61.900000,67.100000,61.000000,53.000000,61.700000,65.400000
0.055000,66.200000,67.600000,56.900000,53.000000,57.300000,69.400000
0.060000,64.500000,66.700000,65.100000,111.700000,60.000000,68.400000
0.065000,66.400000,67.200000,60.300000,53.000000,64.900000,71.900000
0.070000,63.900000,64.900000,61.400000,53.000000,67.400000,69.800000
0.075000,65.800000,64.700000,60.000000,66.900000,64.500000,67.300000
0.080000,68.400000,62.200000,59.100000,53.000000,60.600000,74.900000
0.085000,67.900000,64.700000,60.300000,92.300000,68.200000,74.800000
0.090000,67.300000,62.100000,58.900000,53.000000,70.900000,78.300000
0.095000,70.300000,64.800000,56.100000,53.000000,69.700000,77.100000
0.100000,69.300000,63.600000,56.200000,53.000000,66.900000,77.200000
0.105000,74.100000,58.900000,61.000000,53.000000,69.200000,75.800000
0.110000,72.400000,59.900000,58.800000,53.000000,69.700000,74.200000
0.115000,67.400000,63.100000,60.400000,53.000000,68.000000,72.100000
0.120000,68.100000,62.900000,60.000000,71.400000,67.800000,66.300000
0.125000,67.400000,62.200000,60.700000,71.500000,70.400000,59.800000
0.130000,65.300000,61.900000,59.900000,53.000000,70.300000,64.000000
0.135000,68.300000,62.400000,59.400000,53.000000,66.700000,60.000000
0.140000,70.800000,65.400000,57.800000,53.000000,67.600000,67.000000
0.145000,67.300000,66.000000,56.200000,57.200000,70.800000,68.500000
0.150000,71.600000,65.000000,56.700000,53.000000,70.700000,77.900000
0.155000,75.200000,64.800000,56.200000,53.000000,66.900000,75.900000
0.160000,69.500000,65.000000,55.500000,53.000000,67.000000,83.000000
0.165000,70.600000,64.300000,54.400000,77.100000,69.500000,81.900000
0.170000,71.200000,64.700000,53.000000,53.000000,69.200000,86.700000
0.175000,70.800000,63.200000,56.100000,72.500000,69.000000,85.600000
0.180000,71.800000,63.100000,53.000000,53.000000,69.100000,83.700000
0.185000,72.800000,64.000000,54.800000,53.000000,69.300000,82.200000
0.190000,68.800000,66.500000,55.400000,53.000000,68.800000,79.300000
0.195000,67.900000,68.100000,55.500000,71.300000,67.700000,78.900000
0.200000,72.700000,68.000000,55.200000,53.000000,68.100000,81.200000
0.205000,67.300000,67.900000,56.100000,53.000000,68.300000,79.100000
0.210000,66.900000,68.100000,58.000000,53.000000,67.500000,74.700000
0.215000,65.700000,66.400000,58.200000,53.000000,67.900000,75.000000
0.220000,66.100000,66.900000,57.000000,73.100000,68.600000,69.600000
0.225000,69.600000,65.700000,57.200000,53.000000,68.100000,67.700000
